,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Total
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-01-26,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-01-27,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-01-28,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-01-29,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-01-30,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-01-31,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-02-01,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-02-02,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0
2020-02-03,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0
2020-02-04,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0
2020-02-05,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0
2020-02-06,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-07,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-08,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-09,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-10,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-11,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-12,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-13,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-14,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-15,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-16,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-17,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-18,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-19,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-20,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15.0
2020-02-21,4.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,16.0
2020-02-22,4.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,18.0
2020-02-23,4.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,18.0
2020-02-24,4.0,4.0,7.0,3.0,1.0,0.0,0.0,0.0,19.0
2020-02-25,4.0,4.0,8.0,3.0,1.0,0.0,0.0,0.0,20.0
2020-02-26,4.0,4.0,8.0,3.0,1.0,0.0,0.0,0.0,20.0
2020-02-27,4.0,4.0,8.0,3.0,1.0,0.0,0.0,0.0,20.0
2020-02-28,4.0,4.0,8.0,3.0,2.0,0.0,0.0,0.0,21.0
2020-02-29,4.0,4.0,9.0,3.0,2.0,0.0,0.0,0.0,22.0
